seq,folge,szene,rolle,voice_id,delivery,tags,text,text_v3
40,1,1.3,SIEDLER,,gesprochen,,"Danke, Mister. Aber merk dir: Die zählen wirklich alles. Und irgendwann holen sie die Rechnung.","Danke, Mister. Aber merk dir: Die zählen wirklich alles. Und irgendwann holen sie die Rechnung."
44,1,1.4,DOC ARIS,,gesprochen,,"Zwei Wochen Wüste, drei Feuergefechte, und Sie sitzen da wie frisch gebadet. Kein Fieber. Keine Blasen. Ihr Herz, Fremder … schlägt wie ein Metronom. Kein Stolpern, kein Rauschen. Ich höre so etwas sonst nur bei — — bei gar niemandem, ehrlich gesagt.","Zwei Wochen Wüste, drei Feuergefechte, und Sie sitzen da wie frisch gebadet. Kein Fieber. Keine Blasen. Ihr Herz, Fremder … schlägt wie ein Metronom. Kein Stolpern, kein Rauschen. Ich höre so etwas sonst nur bei — — bei gar niemandem, ehrlich gesagt."
45,1,1.4,HELD,,gesprochen,,Ist das schlimm?,Ist das schlimm?
47,1,1.4,DOC ARIS,,gesprochen,,"Schlimm? Nein. Nein, das ist … eine zähe Konstitution. Ein Geschenk. Fremder. Falls Ihnen je etwas an sich selbst … merkwürdig vorkommt. Kommen Sie zuerst zu mir. Nicht zum Konzern. Niemals zum Konzern.","Schlimm? Nein. Nein, das ist … eine zähe Konstitution. Ein Geschenk. Fremder. Falls Ihnen je etwas an sich selbst … merkwürdig vorkommt. Kommen Sie zuerst zu mir. Nicht zum Konzern. Niemals zum Konzern."
48,1,1.4,HELD,,gesprochen,,Warum sollte der Konzern sich für mein Herz interessieren?,Warum sollte der Konzern sich für mein Herz interessieren?
49,1,1.4,DOC ARIS,,gesprochen,,"Der Konzern interessiert sich für alles, was läuft, ohne bezahlt zu werden. — Nächster Patient!","Der Konzern interessiert sich für alles, was läuft, ohne bezahlt zu werden. — Nächster Patient!"
52,1,1.5,ERZÄHLER,,gesprochen,,"Drei Ebenen abwärts, in der Schatzkammer der Schrott-Mine. Zwischen Erzbrocken eine zerdrückte Konzern-Kiste. Der Stempel: PSALM-PROGRAMM. Eigentum der Iron Rail. Zugriff nur Direktorat. Darin eine einzelne Kinetoskop-Rolle, mit Wachs versiegelt. Ins Wachs geprägt: eine Zahl.","Drei Ebenen abwärts, in der Schatzkammer der Schrott-Mine. Zwischen Erzbrocken eine zerdrückte Konzern-Kiste. Der Stempel: PSALM-PROGRAMM. Eigentum der Iron Rail. Zugriff nur Direktorat. Darin eine einzelne Kinetoskop-Rolle, mit Wachs versiegelt. Ins Wachs geprägt: eine Zahl."
54,1,1.5,HELD,,gesprochen,[whispers],Dreizehn. Warum kenn ich dich?,[whispers] Dreizehn. Warum kenn ich dich?
56,1,1.5,ERZÄHLER,,gesprochen,,An der Wand tanzt sein Schatten. Und für einen Herzschlag hat der Schatten die falsche Silhouette: zu breite Schultern. Rohre am Rücken.,An der Wand tanzt sein Schatten. Und für einen Herzschlag hat der Schatten die falsche Silhouette: zu breite Schultern. Rohre am Rücken.
61,1,1.6,SILAS,,gesprochen,,"Konzernwachs. Direktoratssiegel. Und 'ne Chiffre, die meine Linse zum Weinen bringt. Junge, ich sag dir das als Freund: Wirf das Ding in den tiefsten Schacht und vergiss den Weg dahin.","Konzernwachs. Direktoratssiegel. Und 'ne Chiffre, die meine Linse zum Weinen bringt. Junge, ich sag dir das als Freund: Wirf das Ding in den tiefsten Schacht und vergiss den Weg dahin."
62,1,1.6,HELD,,gesprochen,,"Da stand meine Zahl drauf, Silas. Frag mich nicht, woher ich das weiß. Ich weiß es einfach.","Da stand meine Zahl drauf, Silas. Frag mich nicht, woher ich das weiß. Ich weiß es einfach."
63,1,1.6,ERZÄHLER,,gesprochen,,Eine lange Pause. Die Kupferlinse fixiert ihn. Das müde Menschenauge weicht aus.,Eine lange Pause. Die Kupferlinse fixiert ihn. Das müde Menschenauge weicht aus.
64,1,1.6,SILAS,,gesprochen,,"… Es gibt 'nen Zug. Jeden Monat, Richtung Norden, Waggons versiegelt wie Särge. PSALM-Fracht. Was immer der Konzern dir genommen hat — wenn's Antworten gibt, fahren sie erster Klasse. Aber Züge überfällt man nicht, Junge. Züge überlebt man. Höchstens.","… Es gibt 'nen Zug. Jeden Monat, Richtung Norden, Waggons versiegelt wie Särge. PSALM-Fracht. Was immer der Konzern dir genommen hat — wenn's Antworten gibt, fahren sie erster Klasse. Aber Züge überfällt man nicht, Junge. Züge überlebt man. Höchstens."
65,1,1.6,HELD,,gesprochen,,Dann werd ich überleben. Das kann ich anscheinend gut.,Dann werd ich überleben. Das kann ich anscheinend gut.
69,1,1.7,ERZÄHLER,,gesprochen,,"Nacht. Ein Gewitter. Auf dem Flachwagen steht breitbeinig der Zugmeister der Iron Rail — Kolben-Jack, zwei Meter, den rechten Arm ersetzt durch eine dampfgetriebene Ramme. Hinter ihm der versiegelte Waggon mit der Dreizehn.","Nacht. Ein Gewitter. Auf dem Flachwagen steht breitbeinig der Zugmeister der Iron Rail — Kolben-Jack, zwei Meter, den rechten Arm ersetzt durch eine dampfgetriebene Ramme. Hinter ihm der versiegelte Waggon mit der Dreizehn."
70,1,1.7,KOLBEN-JACK,,gesprochen,[shouting],"Ich hab Männer unter Räder fallen sehen und Räder auf Männer! Aber du bist der Erste, der FREIWILLIG auf meinen Zug steigt!","[shouting] Ich hab Männer unter Räder fallen sehen und Räder auf Männer! Aber du bist der Erste, der FREIWILLIG auf meinen Zug steigt!"
72,1,1.7,KOLBEN-JACK,,gesprochen,,Der Direktor zahlt für blinde Passagiere in Schrottpreisen!,Der Direktor zahlt für blinde Passagiere in Schrottpreisen!
73,1,1.7,HELD,,gesprochen,[calm],Ich will nur einen Waggon. Den mit der Dreizehn.,[calm] Ich will nur einen Waggon. Den mit der Dreizehn.
74,1,1.7,ERZÄHLER,,gesprochen,,"Jack erstarrt. Zum ersten Mal weicht das Grinsen. Er tritt näher, mustert das Gesicht des Helden im Blitzlicht — und etwas wie Erkennen, wie Aberglaube, flackert in ihm auf.","Jack erstarrt. Zum ersten Mal weicht das Grinsen. Er tritt näher, mustert das Gesicht des Helden im Blitzlicht — und etwas wie Erkennen, wie Aberglaube, flackert in ihm auf."
75,1,1.7,KOLBEN-JACK,,gesprochen,[whispers] [nervously],… Nein. Neinneinnein. Dich ham sie doch abgeschrieben. Dich ham sie in die Wüste — EINHEIT—,[whispers] [nervously] … Nein. Neinneinnein. Dich ham sie doch abgeschrieben. Dich ham sie in die Wüste — EINHEIT—
78,1,1.8,ERZÄHLER,,gesprochen,,Der Held hat Jack an den Rand gedrängt. Da zündet Jack den Notdruck.,Der Held hat Jack an den Rand gedrängt. Da zündet Jack den Notdruck.
81,1,1.8,ERZÄHLER,,gesprochen,,"Er schlittert auf die gegenüberliegende Wand zu. Dort hängt ein hoher Garderoben-Spiegel. Und alles verstummt — bis auf ein einzelnes, sauberes, mechanisches Ticken, das immer lauter wird. Sein eigenes.","Er schlittert auf die gegenüberliegende Wand zu. Dort hängt ein hoher Garderoben-Spiegel. Und alles verstummt — bis auf ein einzelnes, sauberes, mechanisches Ticken, das immer lauter wird. Sein eigenes."
83,1,1.8,ERZÄHLER,,gesprochen,,"Er hebt den Kopf. Und sieht. In jeder Scherbe ein anderes Fragment. In einer — ein Auge, das keins ist: eine glühende Okular-Iris. In der nächsten — Zähne? Nein: verzahnter Stahl. In der dritten — Rauch, der aus einem Kiefergelenk sickert. Die Haut flackert wie eine schlecht projizierte Aufnahme. Und darunter: ein rauchender, einäugiger Stahl-Schädel. Zahnräder, wo ein Kiefer kauen sollte. Öl, das in den Nähten kocht wie schwarzes Blut.","Er hebt den Kopf. Und sieht. In jeder Scherbe ein anderes Fragment. In einer — ein Auge, das keins ist: eine glühende Okular-Iris. In der nächsten — Zähne? Nein: verzahnter Stahl. In der dritten — Rauch, der aus einem Kiefergelenk sickert. Die Haut flackert wie eine schlecht projizierte Aufnahme. Und darunter: ein rauchender, einäugiger Stahl-Schädel. Zahnräder, wo ein Kiefer kauen sollte. Öl, das in den Nähten kocht wie schwarzes Blut."
85,1,1.8,ERZÄHLER,,gesprochen,,System-Neustart. Sensor-Illusion — Desynchronisation. Protokoll: Wahrheit. — Du bist keine Kreatur aus Fleisch. Du bist eine Maschine.,System-Neustart. Sensor-Illusion — Desynchronisation. Protokoll: Wahrheit. — Du bist keine Kreatur aus Fleisch. Du bist eine Maschine.
86,1,1.8,HELD,,gedanke,[thoughtful] [whispers],"Nein. Nein, ich — ich hab doch geblutet. Ich hab doch … Ich hab doch geträumt.","[thoughtful] [whispers] Nein. Nein, ich — ich hab doch geblutet. Ich hab doch … Ich hab doch geträumt."
87,1,1.8,ERZÄHLER,,gesprochen,,"Und dann tut er das Furchtbarste. Er lacht. Ein kurzes, kaputtes Lachen — halb Schluchzen, halb ein Ventil, das Druck ablässt.","Und dann tut er das Furchtbarste. Er lacht. Ein kurzes, kaputtes Lachen — halb Schluchzen, halb ein Ventil, das Druck ablässt."
89,1,1.8,HELD,,gesprochen,[whispers],Wer hat mir mein Gesicht geschuldet … und mit einer Lüge bezahlt?,[whispers] Wer hat mir mein Gesicht geschuldet … und mit einer Lüge bezahlt?
91,1,1.8,KOLBEN-JACK,,gesprochen,[breathless],"Na. Jetzt weißte's. Weißte was? Ich fahr seit zwanzig Jahren für den Konzern. Und du bist trotzdem der menschlichste Hurensohn, der je auf meinen Zug —","[breathless] Na. Jetzt weißte's. Weißte was? Ich fahr seit zwanzig Jahren für den Konzern. Und du bist trotzdem der menschlichste Hurensohn, der je auf meinen Zug —"
92,1,1.8,ERZÄHLER,,gesprochen,,"Der Held erhebt sich. Zum ersten Mal in voller mechanischer Silhouette: Dampf aus den Schulterventilen, das eine Auge eine ruhige, orange Glut.","Der Held erhebt sich. Zum ersten Mal in voller mechanischer Silhouette: Dampf aus den Schulterventilen, das eine Auge eine ruhige, orange Glut."
93,1,1.8,HELD,,gesprochen,[calm],Runter von meinem Zug.,[calm] Runter von meinem Zug.
97,1,1.8,ERZÄHLER,,gesprochen,,Dahinter: Sektor Zwei. Offen. Bis zum vergifteten Horizont. — Ende der ersten Folge.,Dahinter: Sektor Zwei. Offen. Bis zum vergifteten Horizont. — Ende der ersten Folge.
100,2,2.1,ERZÄHLER,,gesprochen,,"Er kehrt zurück als das, was er ist. Der Saloon verstummt. Ein Betrunkener greift zum Revolver — und lässt ihn stecken, weil seine Hand zu sehr zittert. Der Held geht durch eine Gasse aus Blicken zum Tresen. Mabel sieht ihn lange an. Dann bückt sie sich, kramt — und stellt ihm statt des Schnapsglases eine Dose feinstes Schmieröl hin. Mit Untertasse.","Er kehrt zurück als das, was er ist. Der Saloon verstummt. Ein Betrunkener greift zum Revolver — und lässt ihn stecken, weil seine Hand zu sehr zittert. Der Held geht durch eine Gasse aus Blicken zum Tresen. Mabel sieht ihn lange an. Dann bückt sie sich, kramt — und stellt ihm statt des Schnapsglases eine Dose feinstes Schmieröl hin. Mit Untertasse."
101,2,2.1,MABEL,,gesprochen,,Aufs Haus. Wie immer.,Aufs Haus. Wie immer.
103,2,2.1,HELD,,gesprochen,,Du … fragst nicht mal?,Du … fragst nicht mal?
104,2,2.1,MABEL,,gesprochen,,"Was fragen? Ob du 'ne Maschine bist? Kleiner, ich schenk seit dreißig Jahren aus. Ich hab Männer aus Fleisch gesehen, die weniger Herz hatten als deine Taschenuhr. Du hast der alten Vess das Dach geflickt. Du hast den Jungen vom Doc aus der Grube getragen. Das warst du. Aus was du dabei warst, ist deine Sache. UND WER DAS ANDERS SIEHT, TRINKT AB SOFORT WOANDERS!","Was fragen? Ob du 'ne Maschine bist? Kleiner, ich schenk seit dreißig Jahren aus. Ich hab Männer aus Fleisch gesehen, die weniger Herz hatten als deine Taschenuhr. Du hast der alten Vess das Dach geflickt. Du hast den Jungen vom Doc aus der Grube getragen. Das warst du. Aus was du dabei warst, ist deine Sache. UND WER DAS ANDERS SIEHT, TRINKT AB SOFORT WOANDERS!"
108,2,2.2,ERZÄHLER,,gesprochen,,"Drei Fraktionen werben um den wandelnden Stahlkessel. Die Eiserne Gilde bietet Zugriff auf ihre Bücher, die Schmuggler bieten Wege ins alte Leben. Aber nur eine sieht ihn zuerst als Menschen — indem sie ihn hart wie einen behandelt. Auf der Brustwehr von Fort Freedom steht Gideon Cross, die Narbe vom Kinn bis übers Ohr.","Drei Fraktionen werben um den wandelnden Stahlkessel. Die Eiserne Gilde bietet Zugriff auf ihre Bücher, die Schmuggler bieten Wege ins alte Leben. Aber nur eine sieht ihn zuerst als Menschen — indem sie ihn hart wie einen behandelt. Auf der Brustwehr von Fort Freedom steht Gideon Cross, die Narbe vom Kinn bis übers Ohr."
109,2,2.2,GIDEON,,gesprochen,[cold],"Weißt du, was der Konzern aus Menschen macht? Zahlen. Weißt du, was er aus dir gemacht hat? Einen Beweis. Den wandelnden Beweis, dass ihnen nicht mal unser Sterben mehr gehört — sie verwerten es.","[cold] Weißt du, was der Konzern aus Menschen macht? Zahlen. Weißt du, was er aus dir gemacht hat? Einen Beweis. Den wandelnden Beweis, dass ihnen nicht mal unser Sterben mehr gehört — sie verwerten es."
110,2,2.2,HELD,,gesprochen,,Ich bin nicht dein Beweis. Ich such meine Familie.,Ich bin nicht dein Beweis. Ich such meine Familie.
111,2,2.2,GIDEON,,gesprochen,,"Dann hör mir gut zu, Maschine, denn ich sag das nur einmal: Alles, was der Konzern dir je gezeigt hat, lief durch seine Linsen. Willst du deine Familie finden? Dann brich die Linsen. Wir brechen das Konzern-Monopol — oder sterben beim Versuch. Du hast den Vorteil: Du bist beim Sterben nicht so leicht kleinzukriegen.","Dann hör mir gut zu, Maschine, denn ich sag das nur einmal: Alles, was der Konzern dir je gezeigt hat, lief durch seine Linsen. Willst du deine Familie finden? Dann brich die Linsen. Wir brechen das Konzern-Monopol — oder sterben beim Versuch. Du hast den Vorteil: Du bist beim Sterben nicht so leicht kleinzukriegen."
113,2,2.2,HELD,,gesprochen,,Dann brechen wir Linsen.,Dann brechen wir Linsen.
114,2,2.2,ERZÄHLER,,gesprochen,,"Er ist der Erste, der den Helden nimmt, wie man einen Mann nimmt — nicht vorsichtig wie ein Ding. Die Wahl ist getroffen.","Er ist der Erste, der den Helden nimmt, wie man einen Mann nimmt — nicht vorsichtig wie ein Ding. Die Wahl ist getroffen."
118,2,2.3,ERZÄHLER,,gesprochen,,"Der Held ist allein. Er kurbelt den kleinen Kinetoskop-Projektor. An der Wand: seine Frau Liv, lachend, die Tochter Sara auf den Schultern, der Sohn Tom, der winkt. „Komm heim, Jeremiah."" Er sieht es zum hundertsten Mal.","Der Held ist allein. Er kurbelt den kleinen Kinetoskop-Projektor. An der Wand: seine Frau Liv, lachend, die Tochter Sara auf den Schultern, der Sohn Tom, der winkt. „Komm heim, Jeremiah."" Er sieht es zum hundertsten Mal."
120,2,2.3,HELD,,gesprochen,[whispers],"… Sara. Du winkst. Du winkst genauso. Jedes Mal. Dreiundzwanzig Bilder, dann der Blick nach links.","[whispers] … Sara. Du winkst. Du winkst genauso. Jedes Mal. Dreiundzwanzig Bilder, dann der Blick nach links."
122,2,2.3,HELD,,gedanke,[thoughtful] [whispers],Kinder winken nie zweimal gleich.,[thoughtful] [whispers] Kinder winken nie zweimal gleich.
126,2,2.4,TESS,,gesprochen,,"Okay, okay, sieh her: Frame vierhundertzwölf, die Sonne steht links, Schatten fallen rechts — Frame vierhundertdreizehn, Schatten falln LINKS. Die Sonne springt nicht, Großer. Sonnen tun das nicht.","Okay, okay, sieh her: Frame vierhundertzwölf, die Sonne steht links, Schatten fallen rechts — Frame vierhundertdreizehn, Schatten falln LINKS. Die Sonne springt nicht, Großer. Sonnen tun das nicht."
128,2,2.4,TESS,,gesprochen,,Das ist 'ne Naht. Alchemistischer Bildsatz. Die haben … die haben deine Frau aus zwei verschiedenen Aufnahmen zusammengeklebt. Es tut mir leid. Das da … das ist nirgendwo. Das ist aus einem Labor.,Das ist 'ne Naht. Alchemistischer Bildsatz. Die haben … die haben deine Frau aus zwei verschiedenen Aufnahmen zusammengeklebt. Es tut mir leid. Das da … das ist nirgendwo. Das ist aus einem Labor.
129,2,2.4,HELD,,gesprochen,[whispers],"Die Stimme. Sie sagt meinen Namen. „Komm heim, Jeremiah.""","[whispers] Die Stimme. Sie sagt meinen Namen. „Komm heim, Jeremiah."""
130,2,2.4,TESS,,gesprochen,[whispers],"… Aus wie vielen Botschaften, glaubst du, kann man ein „Komm heim"" zusammenschneiden?","[whispers] … Aus wie vielen Botschaften, glaubst du, kann man ein „Komm heim"" zusammenschneiden?"
134,2,2.5,ERZÄHLER,,gesprochen,,"Die Ruine von Providence Cut. Verkohlte Balken wie Rippen aus dem Boden. Am Ortseingang ein verbogenes Schild: „Providence Cut — 214 Seelen."" Jemand hat die 214 durchgestrichen. Der Held stellt den Projektor auf einen Mauerrest und fädelt die eine echte Rolle ein — die, die nie hätte überleben dürfen.","Die Ruine von Providence Cut. Verkohlte Balken wie Rippen aus dem Boden. Am Ortseingang ein verbogenes Schild: „Providence Cut — 214 Seelen."" Jemand hat die 214 durchgestrichen. Der Held stellt den Projektor auf einen Mauerrest und fädelt die eine echte Rolle ein — die, die nie hätte überleben dürfen."
136,2,2.5,ERZÄHLER,,gesprochen,,"Die Bilder fallen auf die Ruine selbst — die lebende Stadt, deckungsgleich über ihrem eigenen Skelett. Streikposten an der Bahntrasse. Dann fährt ein Konzernzug ein. Eine Rampe fällt. Und herab schreitet — er. Einheit dreizehn. Neu. Glänzend. Das Okular kalt. Text im Bild: Ersteinsatz. Befehl: Strecke räumen.","Die Bilder fallen auf die Ruine selbst — die lebende Stadt, deckungsgleich über ihrem eigenen Skelett. Streikposten an der Bahntrasse. Dann fährt ein Konzernzug ein. Eine Rampe fällt. Und herab schreitet — er. Einheit dreizehn. Neu. Glänzend. Das Okular kalt. Text im Bild: Ersteinsatz. Befehl: Strecke räumen."
137,2,2.5,HELD,,gesprochen,,Nein. Halt das an. Halt das an—,Nein. Halt das an. Halt das an—
138,2,2.5,ERZÄHLER,,gesprochen,,"Er hält es nicht an. Die Menge weicht. Eine Frau tritt vor — Liv. Sie tritt der Maschine in den Weg. So, wie man einem Mann in den Weg tritt, den man kennt. Ihr Mund formt ein Wort. Die Rolle hat keinen Ton. Aber jeder liest es: „Jeremiah?""","Er hält es nicht an. Die Menge weicht. Eine Frau tritt vor — Liv. Sie tritt der Maschine in den Weg. So, wie man einem Mann in den Weg tritt, den man kennt. Ihr Mund formt ein Wort. Die Rolle hat keinen Ton. Aber jeder liest es: „Jeremiah?"""
140,2,2.5,ERZÄHLER,,gesprochen,,Der Held steht sehr lange sehr still. Maschinen können das. Dann sinkt er auf die Knie und greift in die Asche.,Der Held steht sehr lange sehr still. Maschinen können das. Dann sinkt er auf die Knie und greift in die Asche.
142,2,2.5,HELD,,gesprochen,[whispers],Ich hab euch nicht verloren. Ich wurde auf euch abgefeuert.,[whispers] Ich hab euch nicht verloren. Ich wurde auf euch abgefeuert.
144,2,2.5,ERZÄHLER,,gesprochen,,Unter die durchgestrichene 214 schreibt er eine Ziffer. Plus eins.,Unter die durchgestrichene 214 schreibt er eine Ziffer. Plus eins.
145,2,2.5,HELD,,gesprochen,[cold] [calm],"Der Mann, der euer war, ist hier gestorben. Was übrig ist, gehört ab heute niemandem mehr — außer der Rechnung. Und die stell ich zu. Frei Haus. Bis ins Eiserne Herz.","[cold] [calm] Der Mann, der euer war, ist hier gestorben. Was übrig ist, gehört ab heute niemandem mehr — außer der Rechnung. Und die stell ich zu. Frei Haus. Bis ins Eiserne Herz."
147,2,2.5,ERZÄHLER,,gesprochen,,Ende der zweiten Folge.,Ende der zweiten Folge.
149,3,3.1,DOC ARIS,,gesprochen,,"Ich habe damals gelogen, wissen Sie. „Zähe Konstitution."" Ich hab's geahnt und geschwiegen, weil ich dachte, ich schütze Sie. Sagen Sie mir eins, ehrlich, von Arzt zu … Patient: Wenn das hier vorbei ist — was wollen Sie dann noch sein?","Ich habe damals gelogen, wissen Sie. „Zähe Konstitution."" Ich hab's geahnt und geschwiegen, weil ich dachte, ich schütze Sie. Sagen Sie mir eins, ehrlich, von Arzt zu … Patient: Wenn das hier vorbei ist — was wollen Sie dann noch sein?"
150,3,3.1,HELD,,gesprochen,,"Ich dachte lang, ich will wieder Mensch sein. Jetzt will ich nur noch einer sein, bei dem's einen Unterschied macht.","Ich dachte lang, ich will wieder Mensch sein. Jetzt will ich nur noch einer sein, bei dem's einen Unterschied macht."
151,3,3.1,DOC ARIS,,gesprochen,,"… Das, mein Freund, ist die gesündeste Diagnose in diesem ganzen verdammten Territorium.","… Das, mein Freund, ist die gesündeste Diagnose in diesem ganzen verdammten Territorium."
154,3,3.2,ERZÄHLER,,gesprochen,,"Aus dem Feuerschein flackert eine überlebensgroße Projektion auf. Direktor Cornelius Vane. Ein väterliches Gesicht, wachsglatt, freundliche Augen. Und die Projektion sieht den Helden direkt an — sie ist nicht aufgezeichnet.","Aus dem Feuerschein flackert eine überlebensgroße Projektion auf. Direktor Cornelius Vane. Ein väterliches Gesicht, wachsglatt, freundliche Augen. Und die Projektion sieht den Helden direkt an — sie ist nicht aufgezeichnet."
