seq,folge,szene,typ,rolle,voice_id,delivery,regie,text
134,2,2.5,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Die Ruine von Providence Cut. Verkohlte Balken wie Rippen aus dem Boden. Am Ortseingang ein verbogenes Schild: „Providence Cut — 214 Seelen."" Jemand hat die 214 durchgestrichen. Der Held stellt den Projektor auf einen Mauerrest und fädelt die eine echte Rolle ein — die, die nie hätte überleben dürfen."
135,2,2.5,sfx,,,,"Die Kurbel. Ein Projektor-Surren, das über die tote Stille läuft.",
136,2,2.5,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Die Bilder fallen auf die Ruine selbst — die lebende Stadt, deckungsgleich über ihrem eigenen Skelett. Streikposten an der Bahntrasse. Dann fährt ein Konzernzug ein. Eine Rampe fällt. Und herab schreitet — er. Einheit dreizehn. Neu. Glänzend. Das Okular kalt. Text im Bild: Ersteinsatz. Befehl: Strecke räumen."
137,2,2.5,line,HELD,V_HELD,gesprochen,"rückwärts stolpernd, die Stimme zerfällt",Nein. Halt das an. Halt das an—
138,2,2.5,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Er hält es nicht an. Die Menge weicht. Eine Frau tritt vor — Liv. Sie tritt der Maschine in den Weg. So, wie man einem Mann in den Weg tritt, den man kennt. Ihr Mund formt ein Wort. Die Rolle hat keinen Ton. Aber jeder liest es: „Jeremiah?"""
139,2,2.5,sfx,,,,"Ein einzelner, schwerer Kolbenschlag. Dann — nichts. Absolute Stille. Mehrere Sekunden.",
140,2,2.5,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,Der Held steht sehr lange sehr still. Maschinen können das. Dann sinkt er auf die Knie und greift in die Asche.
141,2,2.5,sfx,,,,"Aus seinen Schulterventilen bricht Dampf, in kurzen, harten Stößen — das einzige Schluchzen, zu dem sein Körper fähig ist.",
142,2,2.5,line,HELD,V_HELD,gesprochen,kaum hörbar,Ich hab euch nicht verloren. Ich wurde auf euch abgefeuert.
143,2,2.5,sfx,,,,"Er nimmt das Schild, rammt es gerade in die Erde. Ein glühender Fingerstahl zischt über Metall — er schreibt.",
144,2,2.5,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,Unter die durchgestrichene 214 schreibt er eine Ziffer. Plus eins.
145,2,2.5,line,HELD,V_HELD,gesprochen,"zur toten Stadt, ganz ruhig; der Zorn ist jetzt kalt","Der Mann, der euer war, ist hier gestorben. Was übrig ist, gehört ab heute niemandem mehr — außer der Rechnung. Und die stell ich zu. Frei Haus. Bis ins Eiserne Herz."
146,2,2.5,music,,,,"HERZ-MOTIV, kalt und entschlossen, ins Ende der Folge.",
147,2,2.5,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,Ende der zweiten Folge.
148,3,3.1,atmo,,,,"Lazarett, Nacht. Doc näht Verwundete nach einem Goliath-Überfall. Gedämpftes Stöhnen, Instrumente klirren.",
149,3,3.1,line,DOC ARIS,V_DOC,gesprochen,"näht, ohne aufzusehen","Ich habe damals gelogen, wissen Sie. „Zähe Konstitution."" Ich hab's geahnt und geschwiegen, weil ich dachte, ich schütze Sie. Sagen Sie mir eins, ehrlich, von Arzt zu … Patient: Wenn das hier vorbei ist — was wollen Sie dann noch sein?"
150,3,3.1,line,HELD,V_HELD,gesprochen,,"Ich dachte lang, ich will wieder Mensch sein. Jetzt will ich nur noch einer sein, bei dem's einen Unterschied macht."
151,3,3.1,line,DOC ARIS,V_DOC,gesprochen,sieht ihn über die Brille an,"… Das, mein Freund, ist die gesündeste Diagnose in diesem ganzen verdammten Territorium."
152,3,3.1,transition,,,,BLENDE,
153,3,3.2,atmo,,,,Eine gesprengte Pipeline brennt. Nacht. Feuer knistert groß.,
154,3,3.2,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,"Aus dem Feuerschein flackert eine überlebensgroße Projektion auf. Direktor Cornelius Vane. Ein väterliches Gesicht, wachsglatt, freundliche Augen. Und die Projektion sieht den Helden direkt an — sie ist nicht aufgezeichnet."
155,3,3.2,music,,,,"STAHL-CHORAL, sehr leise, unter Vanes Stimme.",
156,3,3.2,line,VANE,V_VANE,gesprochen,"warm, wie ein Arzt am Krankenbett","Dreizehn. Du siehst mitgenommen aus. Ich verüble dir nichts davon. Ein Instrument, das sich verstimmt, klagt man nicht an — man stimmt es neu. Komm nach Norden. Ich habe, was du suchst: nicht Vergebung — die ist Aberglaube. Wiederherstellung. Ich kann sie dir zurückgeben, weißt du. Bild für Bild. Wort für Wort. Sie würden dich nie wieder verlassen. Und nie wieder altern. — Nun: Was ist ein Himmel mehr, nur weil er aus Messing ist?"
157,3,3.2,sfx,,,,Ein einzelner Karabiner-Schuss. Glas — die Projektionslinse — zersplittert.,
158,3,3.2,line,HELD,V_HELD,gesprochen,in die Dunkelheit,Meine Familie hat einen Namen gehabt. Du kriegst nicht mal ein Echo davon.
159,3,3.2,transition,,,,BLENDE,
160,3,3.3,atmo,,,,"Saloon nach Sperrstunde. Stühle auf den Tischen. Sehr leise, sehr intim.",
161,3,3.3,line,ERZÄHLER,V_ERZAEHLER,gesprochen,,Nur Mabel und der Held. Sie schenkt sich einen Schnaps ein und ihm ein Öl.
162,3,3.3,sfx,,,,"Glas gegen Blech — ein kleines, absurdes, perfektes Geräusch.",
163,3,3.3,line,MABEL,V_MABEL,gesprochen,,"Weißt du noch, was ich dir am ersten Abend gesagt hab? Wenn die Wüste dich fragt, wer du bist —"
164,3,3.3,line,HELD,V_HELD,gesprochen,,"— lass sie nicht antworten. Antworte selbst. Ich hab lang gebraucht, Mabel. Aber ich hab jetzt eine Antwort."
165,3,3.3,line,MABEL,V_MABEL,gesprochen,,Und die wär?
166,3,3.3,line,HELD,V_HELD,gesprochen,,"Ich bin das, was der Konzern gebaut hat — und nicht bestellen wollte. Auf Rustwater."
167,3,3.3,line,MABEL,V_MABEL,gesprochen,rau,"Auf dich, Kleiner. Komm heim."
168,3,3.3,sfx,,,,Er erstarrt fast unmerklich bei den zwei Worten — ein winziges Ventil-Stocken.,
